Date,Mkt-RF,SMB,HML,RF
2021-11-30,-1.95,0.53,-1.14,0
2021-12-01,-1.61,-0.78,1.08,0
2021-12-02,1.51,0.71,1.27,0
2021-12-03,-1.21,-1.13,1.07,0
2021-12-06,1.19,0.77,0.61,0
2021-12-07,2.22,0.2,-1.8,0
2021-12-08,0.47,0.65,-0.82,0
2021-12-09,-1.07,-1.36,1.54,0
2021-12-10,0.7,-0.83,0.52,0
2021-12-13,-1.04,-0.31,-0.98,0
2021-12-14,-0.76,-0.67,1.63,0
2021-12-15,1.62,0.39,-1.91,0
2021-12-16,-1.2,-1.59,2.77,0
2021-12-17,-0.65,1.89,-2.33,0
2021-12-20,-1.27,-0.17,-0.4,0
2021-12-21,2.06,0.81,0.2,0
2021-12-22,0.97,0.25,-0.36,0
2021-12-23,0.71,0.35,-0.48,0
2021-12-27,1.22,-0.12,0.31,0
2021-12-28,-0.27,-0.59,0.8,0
2021-12-29,0.06,-0.07,0.17,0
2021-12-30,-0.15,0.11,-0.41,0
2021-12-31,-0.31,0.05,0.53,0
2022-01-03,0.73,0.33,0.8,0
2022-01-04,-0.29,-0.83,3.64,0
2022-01-05,-2.28,-1.45,2.59,0
2022-01-06,0,0.2,1.75,0
2022-01-07,-0.48,-1.32,2.02,0
2022-01-10,-0.15,-0.23,-0.28,0
2022-01-11,1.1,-0.08,-0.28,0
2022-01-12,0.12,-0.89,0.51,0
2022-01-13,-1.57,0.31,2.4,0
2022-01-14,0.08,0.17,0.55,0
